pred,actual,gated,active
-0.005670943,-0.028974494,0.0,0
-0.0054812916,-0.004577067,0.0,0
-0.0056218584,0.0107372645,0.0,0
-0.00594065,-0.003112045,0.0,0
-0.006067301,-0.0007605861,0.0,0
-0.007422728,0.010592458,0.0,0
-0.011193462,0.032323863,0.0,0
-0.013221611,0.03395604,0.0,0
-0.011201218,0.02310408,0.0,0
-0.0073788944,0.022880228,0.0,0
-0.0033089393,0.032814257,0.0,0
-0.0020382262,0.024062976,0.0,0
-0.00021620102,0.02057203,0.0,0
0.00025299352,0.04189897,0.0,0
0.0007225227,0.057739582,0.0,0
0.0016834122,0.045989472,0.0,0
0.0024306488,0.034221366,0.0,0
0.0031331053,0.024589082,0.0,0
0.003865168,0.025774421,0.0,0
0.0039084903,0.023004519,0.0,0
0.0035064684,0.010310498,0.0,0
0.002973421,0.015708419,0.0,0
0.0027839777,0.016206343,0.0,0
0.0027683736,0.0038633991,0.0,0
0.0028625415,-0.013690255,0.0,0
0.0027294266,-0.0036983124,0.0,0
0.0029951592,-0.0037467673,0.0,0
0.0032668984,-0.0031630795,0.0,0
0.0031480754,0.006129884,0.0,0
0.0029379972,0.008658397,0.0,0
0.0026858526,0.015025208,0.0,0
0.0028460447,0.010569799,0.0,0
0.0030951353,0.013056777,0.0,0
0.0032452156,0.029254045,0.0,0
0.0031904443,0.03786859,0.0,0
0.0031459627,0.029197546,0.0,0
0.0034495858,0.03592953,0.0,0
0.0037603308,0.036983058,0.0037603308,1
0.0038767152,0.022252424,0.0038767152,1
0.0038981042,0.020859517,0.0038981042,1
0.0039599976,0.018866668,0.0039599976,1
0.0038540405,0.020241376,0.0038540405,1
0.003692389,0.01908353,0.003692389,1
0.0035191968,0.011407488,0.0035191968,1
0.0034574016,0.0049210573,0.0034574016,1
0.0037396643,0.008006802,0.0037396643,1
0.003976807,0.006537234,0.003976807,1
0.0040262123,0.009110618,0.0040262123,1
0.003999084,0.01717835,0.003999084,1
0.0037537734,0.019805582,0.0037537734,1
0.0035144438,0.023699144,0.0035144438,1
0.0033550633,0.030097153,0.0033550633,1
0.00317409,0.019467339,0.00317409,1
0.0029800178,0.024162525,0.0029800178,1
0.0027836503,0.031268355,0.0,0
0.002738538,0.035088073,0.0,0
0.002685854,0.014387386,0.0,0
0.0024831474,0.0013671297,0.0,0
0.0026684045,-0.011170796,0.0,0
0.0031396144,-0.001514475,0.0031396144,1
0.0032397013,-0.0038084674,0.0032397013,1
0.003478484,-0.0367028,0.003478484,1
0.0036363949,-0.03318444,0.0036363949,1
0.0036444305,-0.027825514,0.0036444305,1
0.003839058,-0.02977688,0.003839058,1
0.003949923,-0.040718567,0.003949923,1
0.0039458475,-0.011805124,0.0039458475,1
0.0038469515,-0.017658595,0.0038469515,1
0.0035050784,-0.0287811,0.0,0
0.0031796282,-0.06794611,0.0,0
0.0022516379,-0.05682599,0.0,0
0.0018971126,-0.04194296,0.0,0
0.001408287,-0.014800315,0.0,0
0.0008582487,-0.021054741,0.0,0
0.000563972,-0.021808187,0.0,0
0.0007720137,-0.00036968396,0.0,0
0.0012405247,-0.012148895,0.0,0
0.001977152,0.017724566,0.0,0
0.0026484851,0.038845524,0.0,0
0.0033835976,0.08135231,0.0,0
0.0039476273,0.06814662,0.0039476273,1
0.004941631,0.08103666,0.004941631,1
0.005897532,0.04724862,0.005897532,1
0.00648517,0.054348987,0.00648517,1
0.0067490633,0.050978635,0.0067490633,1
0.0069315066,0.035214297,0.0069315066,1
0.0070940517,0.025108147,0.0070940517,1
0.0074838484,0.008792677,0.0074838484,1
0.008147721,0.016950965,0.008147721,1
