pred,actual
0.0,-0.000763282075863736
0.0,0.016181287207002626
0.0,0.03223292635593733
0.0,0.03261275424773613
0.0,0.02121532678743665
0.0,0.02355719640229159
0.0,0.023144374126857103
0.0,0.023164103693467997
0.0,0.03012232777982149
0.0,0.03335940038072982
0.0,0.02245942726394734
0.0,0.02619777732726747
0.0,0.02454637749193367
0.0,0.01904570923910276
0.0,0.01842492312074806
0.0,0.02598520277731242
0.0,0.021198734141854247
0.0,0.027732667033187663
0.0,0.019056614971997288
0.0,0.005725863467408665
0.0,0.031981306525837416
0.0,0.02518044359022298
0.0,0.009470388320977019
0.0,0.006615610683723849
0.0,0.005564906015150584
0.0,0.018412136287384806
0.0,0.018185530671022576
0.0,0.008538542485368561
0.0,0.011219061894490512
0.0,0.023538430053670734
0.0,0.019127608197030188
0.0,0.021343113461976593
0.0,0.025048171436369726
0.0,0.02072956170869733
0.0,0.024681835031147514
0.0,0.013825371797550723
0.0,0.006856260426399752
0.0,0.009549239929854458
0.0,0.01911902303369195
0.0,0.01884710467281292
0.0,0.010637183808892114
0.0,-0.0038913612540563136
0.0,0.0035996698193199173
0.0,0.019662679098074065
0.0,0.023480116022232655
0.0,0.016320350742685674
0.0,0.021564582486167216
0.0,0.019587959442223246
0.0,0.005470257298055836
0.0,0.016103617176447926
0.0,0.020167075220443254
0.0,0.024756293059027934
0.0,0.010950774567675348
0.0,0.006368718075791646
0.0,-0.014816418134467435
0.0,-0.007095245649766269
0.0,-0.0060735469538465425
0.0,-0.001586715939669081
0.0,-0.008251999731254789
0.0,-0.00941797994735838
0.0,-0.02492029251432193
0.0,-0.03469835531207466
0.0,-0.029659150181414407
0.0,-0.03631979816233888
0.0,-0.026439536133710195
0.0,-0.045560026900626105
0.0,-0.036865754782371196
0.0,-0.026749089213240707
0.0,-0.01724790947404531
0.0,-0.028974494431883047
0.0,-0.004577067733664286
0.0,0.010737264372036037
0.0,-0.0031120448265915535
0.0,-0.0007605863252353462
0.0,0.010592457750701723
0.0,0.032323862439443296
0.0,0.033956039876009037
0.0,0.02310408045232082
0.0,0.022880226227815603
0.0,0.032814258483568004
0.0,0.02406297613779529
0.0,0.02057202978149464
0.0,0.041898972500296505
0.0,0.057739585351261224
0.0,0.04598947382833041
0.0,0.03422136615032545
0.0,0.02458908238483959
0.0,0.025774419473646004
0.0,0.02300451754780619
0.0,0.01031049865354805
0.0,0.01570841719217997
0.0,0.016206342039832178
0.0,0.0038633991118453004
0.0,-0.0136902542716274
0.0,-0.0036983125993631516
0.0,-0.0037467670162599775
0.0,-0.0031630799232824636
0.0,0.006129884363064608
0.0,0.008658396600310203
0.0,0.015025208239560994
0.0,0.010569798584636914
0.0,0.013056777680948484
0.0,0.02925404344641014
0.0,0.037868591732920454
0.0,0.029197545599046748
0.0,0.03592953053596992
0.0,0.036983060469532036
0.0,0.022252423221301276
0.0,0.020859516429195146
0.0,0.018866666739721705
0.0,0.020241375773779824
0.0,0.019083530186021713
0.0,0.011407487964847585
0.0,0.004921057124628092
0.0,0.008006801920582562
0.0,0.006537234006963155
0.0,0.00911061837321081
0.0,0.017178348356310602
0.0,0.019805581750933055
0.0,0.023699144895896307
0.0,0.030097152732680543
0.0,0.019467339422015284
0.0,0.024162523940418845
0.0,0.0312683564422378
0.0,0.035088072898347145
0.0,0.01438738671345563
0.0,0.0013671296459192295
0.0,-0.01117079569060675
0.0,-0.001514474866244786
0.0,-0.003808467336826382
0.0,-0.03670279924647135
0.0,-0.033184438274680206
0.0,-0.027825513508982436
0.0,-0.029776881276858846
0.0,-0.04071856400928242
0.0,-0.011805122983173932
0.0,-0.01765859526635971
0.0,-0.028781097439827374
0.0,-0.06794611962605535
0.0,-0.05682599183909942
0.0,-0.04194295838273465
0.0,-0.014800314317669039
0.0,-0.021054741505032504
0.0,-0.02180818690663333
0.0,-0.0003696841401102935
0.0,-0.012148895591118092
0.0,0.017724565413582916
0.0,0.03884552668073393
0.0,0.08135230799415982
0.0,0.0681466225712688
0.0,0.08103665692013662
0.0,0.04724862347870795
0.0,0.0543489900263503
0.0,0.05097863368158295
0.0,0.035214295283265695
0.0,0.02510814722522814
0.0,0.008792677217339007
0.0,0.016950965898861137
0.0,-0.014143418039272548
0.0,-0.013766060287351278
0.0,-0.020893626295997336
0.0,-0.029120569784158
0.0,-0.029027752153634068
0.0,-0.021599302738486648
0.0,-0.012739508045644166
0.0,0.000640106314752309
0.0,0.006090898152289359
0.0,-0.002710512509462637
0.0,0.01910856150915685
0.0,0.017787807859866556
0.0,0.03819994775966329
0.0,0.05438369931721776
0.0,0.04524177778809091
0.0,0.04320067171191022
0.0,0.030271147121133213
0.0,0.0267363785846495
0.0,0.019934145622378052
0.0,0.022969656140370276
0.0,0.01316334506682204
0.0,0.01624707244687995
0.0,-0.002397805074291548
0.0,0.008508477995469166
0.0,-0.003957262656243188
0.0,0.003174590736886085
0.0,0.01219453088388045
0.0,0.006036110257936933
0.0,0.013394490635114442
0.0,0.0168972590824652
0.0,0.018657283227501598
0.0,0.023282116400234143
0.0,0.024830134157971973
0.0,0.01975286357641859
0.0,0.027746085929319264
0.0,0.017400113462758826
0.0,0.0009288407497560769
0.0,0.0051574051437368595
0.0,-0.0011882429194752797
